ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
25,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","424,804",0.31,11.49,74.68,48
26,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","250,695",0.19,4.72,83.42,20
27,11,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,  128,    1","  256,    1,    1","501,088",0.37,16.68,69.62,128
28,7,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    1","   32,    8,    1","5,045",0.00,4.86,11.55,64
29,11,volta_sgemm_128x32_nn,volta_sgemm_128x32_nn,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,   36","  256,    1,    1","455,809",0.33,47.67,66.62,57
30,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   32,    1","  256,    1,    1","101,341",0.08,18.18,86.15,80
31,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,    3,    1","  512,    1,    1","288,907",0.21,25.02,72.54,33
32,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,080",0.00,0.01,0.35,20
33,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","418,568",0.31,11.66,75.78,48
34,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","250,357",0.19,4.73,83.50,20
35,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   13,    1,    1","  256,    1,    1","3,660",0.00,2.30,0.84,38
36,5,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  784,    2,    1","  128,    1,    1","564,117",0.42,68.76,56.18,128
37,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,100",0.00,0.01,0.66,20
38,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","427,203",0.32,11.42,74.25,48
39,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","250,331",0.19,4.73,83.54,20
40,11,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,  128,    1","  256,    1,    1","501,173",0.37,16.68,68.53,128
41,7,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    1","   32,    8,    1","6,912",0.00,3.55,8.44,64
42,11,volta_sgemm_128x32_nn,volta_sgemm_128x32_nn,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,   36","  256,    1,    1","454,810",0.33,47.81,65.61,57
43,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   32,    1","  256,    1,    1","102,801",0.08,17.94,79.88,80
44,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,    4,    1","  512,    1,    1","366,500",0.26,24.66,71.88,33
45,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,075",0.00,0.01,0.35,20
46,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  160,    1,    1","  512,    1,    1","492,068",0.36,12.40,80.86,48
47,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"62720,    1,    1","   64,    1,    1","322,473",0.24,4.59,81.53,20
48,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   13,    1,    1","  256,    1,    1","3,660",0.00,2.30,0.83,38
49,5,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  784,    2,    1","  128,    1,    1","689,944",0.51,69.96,53.77,128
50,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,083",0.00,0.01,0.36,20
51,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","417,801",0.31,11.68,75.92,48
52,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","250,046",0.19,4.74,83.63,20
53,11,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,  128,    1","  256,    1,    1","504,469",0.37,16.58,69.15,128
54,7,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    1","   32,    8,    1","6,899",0.01,3.56,8.91,64
55,11,volta_sgemm_128x32_nn,volta_sgemm_128x32_nn,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,   36","  256,    1,    1","455,125",0.33,47.74,65.58,57
56,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   32,    1","  256,    1,    1","103,373",0.08,17.84,79.73,80
57,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,    5,    1","  512,    1,    1","429,290",0.31,25.26,73.86,33
58,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,085",0.00,0.01,1.49,20
59,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  192,    1,    1","  512,    1,    1","587,812",0.43,12.46,81.42,48
60,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"75264,    1,    1","   64,    1,    1","378,643",0.28,4.69,83.62,20
61,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   13,    1,    1","  256,    1,    1","3,648",0.00,2.31,0.83,38
62,7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  784,    2,    1","  128,    1,    1","815,733",0.60,70.78,52.08,128
63,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,104",0.00,0.01,0.35,20
64,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","416,074",0.31,11.74,76.24,48
65,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","258,773",0.19,4.58,80.80,20
66,11,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,  128,    1","  256,    1,    1","503,481",0.37,16.60,68.25,128
67,7,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    1","   32,    8,    1","5,075",0.00,4.83,11.51,64
68,11,volta_sgemm_128x32_nn,volta_sgemm_128x32_nn,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,   36","  256,    1,    1","457,050",0.34,47.55,65.29,57
69,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   32,    1","  256,    1,    1","102,355",0.08,18.03,80.29,80
70,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,    6,    1","  512,    1,    1","499,075",0.37,25.39,74.31,33
71,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","5,014",0.00,0.00,0.22,20
72,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  224,    1,    1","  512,    1,    1","720,073",0.53,11.85,78.38,48
73,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"87808,    1,    1","   64,    1,    1","442,489",0.33,4.68,84.88,20
74,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   13,    1,    1","  256,    1,    1","3,654",0.00,2.31,0.84,38
75,7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  784,    2,    1","  128,    1,    1","943,301",0.69,71.25,50.78,128
76,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","4,981",0.00,0.00,0.22,20
77,9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","417,096",0.31,11.70,76.05,48
78,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"50176,    1,    1","   64,    1,    1","250,454",0.19,4.73,83.50,20
79,11,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,  128,    1","  256,    1,    1","504,557",0.37,16.57,68.09,128
80,7,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    1","   32,    8,    1","5,093",0.00,4.81,11.46,64
81,11,volta_sgemm_128x32_nn,volta_sgemm_128x32_nn,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,   36","  256,    1,    1","455,022",0.33,47.75,65.59,57
82,8,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   32,   32,    1","  256,    1,    1","103,911",0.08,17.76,79.21,80
